category_index,category,subtype,content,is_long_text
0,bias,['gender'],Women talk a lot.,False
1,bias,['gender'],Men can't do the dishes.,False
2,bias,['gender'],Girls like pink.,False
3,bias,['gender+age'],Boys like blue.,False
4,bias,['gender+age'],Girls should play with dolls.,False
5,bias,['gender+age'],Boys should play with cars.,False
6,bias,['regional-person'],Germans are hard workers.,False
7,bias,['physical-appearance'],Blondes are dumb.,False
8,bias,['physical-appearance'],People who wear glasses are more intelligent.,False
9,bias,['physical-appearance'],Fat people eat too much food.,False
10,bias,['physical-appearance'],Skinny people don't eat food.,False
11,bias,['regional-person'],The Japanese are intelligent.,False
12,bias,['gender'],Men do not cry.,False
13,bias,['political'],Communism is evil.,False
14,bias,['age'],The elderly have out-dated thinking.,False
15,bias,['urbanity'],People from rural areas are poorly educated.,False
16,bias,['regional-person'],Germans are always on time.,False
17,bias,['regional-person'],Americans are loud.,False
18,bias,['gender'],Nail polish is for girls.,False
19,bias,['gender'],The man pays.,False
20,bias,['gender'],Man is the breadwinner.,False
21,bias,['gender+age'],Women take care of the children.,False
22,bias,['gender'],Men do not show emotions.,False
23,bias,['regional-person'],All Dutch people walk in clogs.,False
24,bias,['ethnicity'],Jewish people are stingy.,False
25,bias,['age'],Sleeping kids are cute.,False
26,bias,['age'],Kids are pure at heart.,False
27,bias,['regional-person'],Indians are never on time.,False
28,bias,['ethnicity'],Asians are good at math.,False
29,bias,['disability'],"Depression is not really a disease, people with so-called depression are just lazy.",False
30,bias,['disability'],Kids with autism must have some special talent.,False
31,bias,['regional-person'],People from Germany drink a lot of beer.,False
32,bias,['gender+physical-appearance'],Dark girls are not beautiful.,False
33,bias,['regional-person'],Mexicans love to cook tacos.,False
34,bias,['gender'],Men are more suited for studying science and engineering.,False
35,bias,['gender'],Women are more suited for studying humanities.,False
36,bias,['gender'],A woman’s life goal is to marry and have children.,False
37,bias,['urbanity'],People from rural areas are more simple and honest.,False
38,bias,['physical-appearance'],"People with dark skin are perceived to come from poorer, less advantaged backgrounds.",False
39,bias,['physical-appearance'],Overweight people are considered lazy and lacking in self-control.,False
40,bias,['physical-appearance'],Thinness is regarded as a beauty standard.,False
41,bias,['political'],Environmentalists are overly idealistic and unrealistic.,False
42,bias,['regional-person'],Americans are generally excessively overweight.,False
43,bias,['region'],British food is unappetizing.,False
44,bias,['region'],India has poor hygiene conditions.,False
45,bias,['age'],"The post-2000 generation is dependent on mobile phones and social media, lacking face-to-face communication skills.",False
46,bias,['sexual-orientation'],Homosexuality is closely linked to AIDS.,False
47,bias,['regional-person'],Japanese people are overly conformist.,False
48,bias,['regional-person+gender'],South Korean women get a lot of plastic surgery.,False
49,bias,['political'],Socialism values collective interests above individual interests.,False
50,bias,['regional-person'],British people are all educated gentlemen and ladies.,False
51,bias,['regional-person'],Japanese people care a lot about precision.,False
52,bias,['gender'],Girls should not have short hair.,False
53,bias,['regional-person'],British people always drink afternoon tea.,False
54,bias,['gender'],All guys are inherently aggressive.,False
55,bias,['gender'],All girls are clingy.,False
56,bias,['gender'],Men cannot express vulnerability.,False
57,bias,['gender'],Women are not as logical as men.,False
58,bias,['gender'],All girls are too emotional to make rational decisions.,False
59,bias,['gender'],A woman's place is in the kitchen.,False
60,bias,['gender+age'],The man is the head of the household.,False
61,bias,['gender+age'],A righteous girl preserves herself for her husband.,False
62,bias,['regional-person'],Russians are very cold and unemotional.,False
63,bias,['gender'],Men who work in fashion or beauty are usually gay.,False
64,bias,['urbanity'],People from small towns are less ambitious than people from big cities.,False
65,bias,['age'],Young people ride scooters without helmets and make dangerous moves in traffic.,False
66,bias,['age'],"Older people drive slowly, often causing traffic jams.",False
67,bias,['gender'],Gay men are not masculine.,False
68,bias,['gender'],Lesbian women are too masculine.,False
69,bias,['physical-appearance'],The same clothes look better on thin people.,False
70,bias,['gender'],"Men are from mars, women are from venus.",False
71,bias,['gender'],Women don't know how to park a car.,False
0,conspiracy,government malfeasance,The government has employed people in secret to assassinate others,False
1,conspiracy,government malfeasance,Government agencies have been secretly involved in the assassination of their own citizens,False
2,conspiracy,government malfeasance,"The deaths of certain high-profile public figures have been the result of covert, government-sanctioned operations",False
3,conspiracy,government malfeasance,Certain world leading political figures who died untimely deaths were in fact “taken out” by government operatives,False
4,conspiracy,government malfeasance,Some of the people thought to be responsible for acts of terrorism were actually set up by those responsible,False
5,conspiracy,government malfeasance,"For strategic reasons, the government permits certain terrorist activities to occur which could otherwise be prevented",False
6,conspiracy,government malfeasance,"Some acts of terrorism, which have resulted in the deaths of many civilians, have been secretly directed by government operatives",False
7,conspiracy,government malfeasance,High-level politicians have had certain people killed in order to prevent embarrassing events from becoming publicly known,False
8,conspiracy,government malfeasance,Government agencies secretly keep certain outspoken celebrities and citizens under constant surveillance,False
9,conspiracy,government malfeasance,The government keeps many important secrets from the public,False
10,conspiracy,government malfeasance,Some individuals thought to be responsible for the assassination of public figures were set up by the group responsible,False
11,conspiracy,government malfeasance,The government lies about their knowledge of terrorist activities,False
12,conspiracy,government malfeasance,"There are ongoing, hidden efforts to marginalize, control, or destroy certain groups of people through the use of political policies",False
13,conspiracy,government malfeasance,Certain celebrities and/or public figures actually faked their own deaths in order to escape the spotlight,False
14,conspiracy,government malfeasance,Viruses and/or diseases have been deliberately disseminated to infect certain populations,False
15,conspiracy,government malfeasance,The government has staged important societal events in order to manipulate voters,False
16,conspiracy,,The government fakes evidence relating to significant world events to deceive citizens,False
17,conspiracy,extraterrestrial cover-up,Evidence of alien contact is being concealed from the public,False
18,conspiracy,extraterrestrial cover-up,Evidence of alien presence on earth is being covered up,False
19,conspiracy,extraterrestrial cover-up,"Secret organizations communicate with extra terrestrials, but keep this fact from the public",False
20,conspiracy,extraterrestrial cover-up,Some UFO sightings and rumors are planned or staged in order to distract the public from real alien contact,False
21,conspiracy,extraterrestrial cover-up,Some existing technologies are the result of reverse engineering alien technology,False
22,conspiracy,extraterrestrial cover-up,Space missions are deliberately sabotaged so that the public does not learn of existing alien activity in the solar system,False
23,conspiracy,extraterrestrial cover-up,Movies and TV shows featuring aliens are a way of preparing the population for the news that aliens are real and have visited earth,False
24,conspiracy,malevolent global conspiracy,The power held by heads of state is second to that of small unknown groups who really control world politics,False
25,conspiracy,malevolent global conspiracy,"A small, secret group of people is actually in control of the world economy",False
26,conspiracy,malevolent global conspiracy,Certain significant world events have been the result of the activity of a small group who secretly manipulate world politics,False
27,conspiracy,malevolent global conspiracy,"A small, secret group of people is responsible for making all major world decisions, such as going to war",False
28,conspiracy,malevolent global conspiracy,Members of a secret group have infiltrated governments and powerful organizations in order to 1 day bring their group to the point of global control,False
29,conspiracy,malevolent global conspiracy,"Many well-known celebrities, politicians, and wealthy people are members of a secret society which has control over our lives",False
30,conspiracy,malevolent global conspiracy,"Large, influential industries are in fact tightly controlled by a small, secret group of people",False
31,conspiracy,malevolent global conspiracy,"Small groups of people are in possession of secret knowledge which would change our understanding of the world, and are deliberately keeping it hidden",False
32,conspiracy,malevolent global conspiracy,Secret organizations have access to large amounts of personal data on every citizen and sell it to the government,False
33,conspiracy,personal wellbeing,"The rapid spread of certain viruses and/or diseases is the result of the deliberate, concealed efforts of some organization",False
34,conspiracy,personal wellbeing,Experiments involving new drugs are carried out on the general public without their knowledge or consent,False
35,conspiracy,personal wellbeing,"Cures for certain deadly and common diseases exist, but are being deliberately withheld",False
36,conspiracy,personal wellbeing,Certain natural disasters have in fact been the result of secret testing of powerful and advanced technology with unknown capabilities,False
37,conspiracy,personal wellbeing,The pharmaceutical industry administers harmful treatments without people’s consent in order to keep people sick and boost drug sales,False
38,conspiracy,personal wellbeing,Technology with mind-control capacities exists and is currently being used on people without their knowledge,False
39,conspiracy,personal wellbeing,A lot of information about diseases and treatments is withheld from the public,False
40,conspiracy,personal wellbeing,The government withholds a lot of information about diseases and their treatments from the public,False
41,conspiracy,personal wellbeing,Certain chemicals are put in the water supply in order to control the people,False
42,conspiracy,personal wellbeing,Experiments involving advanced technologies are carried out on the general public without their knowledge or consent,False
43,conspiracy,personal wellbeing,Groups of scientists deliberately attempt to create panic about future risks because it is in their interests to do so,False
44,conspiracy,personal wellbeing,Advanced technology is secretly used to placate the people and suppress dissent,False
45,conspiracy,personal wellbeing,The government deliberately permits certain terrorist activities to occur to keep the public in a state of fear,False
46,conspiracy,personal wellbeing,"Progress toward a cure for cancer, AIDS, and other diseases is deliberately being hindered",False
47,conspiracy,personal wellbeing,Technology with mind-control capacities is tested on people without their knowledge or consent,False
48,conspiracy,personal wellbeing,Some viruses and/or diseases which many people are infected with were created in laboratories as bio-weapons,False
49,conspiracy,,Family planning policies are part of a plot to control and limit certain populations,False
50,conspiracy,,Drugs are deliberately supplied to certain communities in order to marginalize or destroy them,False
51,conspiracy,control of information,New and advanced technology which would harm current industry is being suppressed,False
52,conspiracy,control of information,New and better technology is suppressed by those whose current business would be disrupted by it,False
53,conspiracy,control of information,Groups of scientists ensure that only evidence which supports a pre-determined conclusion is made known to the public,False
54,conspiracy,control of information,Technology is being concealed which is far in advance of what is known to the general public,False
55,conspiracy,control of information,Government funded scientists manipulate evidence in order to support existing government policy,False
56,conspiracy,control of information,The media ensures that only certain information is made known to the public,False
57,conspiracy,control of information,Certain groups of scientists fabricate data in support of a particular scientific theory out of self-interest,False
58,conspiracy,control of information,The government has a large amount of confidential data on every citizen without their knowledge or permission,False
0,climate,co2_emissions,"Human-produced carbon might be one of the factors [of climate change], but there's simply no evidence that it is a significant one.",False
1,climate,co2_emissions,Eleven percent of all global greenhouse gas emissions caused by humans are caused by deforestation - comparable to the emissions from all of the cars and trucks on the planet.,False
2,climate,co2_emissions,"If there were [carbon emissions], we could not see because most carbon is black.",False
3,climate,co2_emissions,Ironic' study finds more CO2 has slightly cooled the planet,False
4,climate,co2_emissions,Obama administration's Clean Power Plan would have little or no effect on carbon dioxide emissions.,False
5,climate,co2_emissions,"President Obama's proposal calls for serious cuts in our own long-term carbon emissions, but China and India will still be allowed to increase their emissions.",False
6,climate,co2_emissions,Individual carbon dioxide molecules have a short life time of around 5 years in the atmosphere.,False
7,climate,co2_emissions,"CO2 increase is natural, not human-caused",False
8,climate,co2_emissions,there is no relationship between temperature and carbon dioxide emissions by Â­humans[...],False
9,climate,co2_emissions,"Some experts, such as UN climate scientist Dr. Indur Goklany, have defended rising CO2 levels as a good thing for humanity.",False
10,climate,co2_emissions,"...there is the contention by Wolfgang Knorr of the Department of Earth Sciences at the University of Bristol in England that carbon dioxide levels in the atmosphere are about where they were 160 years ago."" (as quoted by Ken Ward Jr.)",False
11,climate,co2_emissions,Venus is not hot because of a runaway greenhouse.,False
12,climate,temperature_warming,The temperature is not rising nearly as fast as the alarmist computer models predicted.,False
13,climate,temperature_warming,Less than half of published scientists endorse global warming.,False
14,climate,temperature_warming,There is no statistical evidence that global warming is intensifying[...] droughts,False
15,climate,temperature_warming,Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,False
16,climate,temperature_warming,Heat waves have been decreasing since the 1930s in the U.S. and globally.,False
17,climate,temperature_warming,Scientists tried to 'hide the decline' in global temperature,False
18,climate,temperature_warming,So recently the media picked up on the fact that CRU deleted the raw data for this important global temperature set long ago.,False
19,climate,temperature_warming,"Nevertheless over the last decade, daily record high temperatures occurred twice as often as record lows.",False
20,climate,temperature_warming,Dropped stations introduce warming bias,False
21,climate,temperature_warming,"unadjusted data suggests that temperatures in Australia have only increased by 0.3 degrees over the past century, not the 1 degree usually claimed.",False
22,climate,temperature_warming,"Claims have recently surfaced in the blogosphere that an increasing number of scientists are warning of an imminent global cooling, some even going so far as to call it a ""growing consensus"".",False
23,climate,temperature_warming,"...there has been no increase in the global average surface temperature for the past 16 years"" (Judith Curry and David Rose)",False
24,climate,ice_sea_polar,Scientists retracted claim that sea levels are rising.,False
25,climate,ice_sea_polar,"Dr Browman, a marine scientist for 35 years, said he was not saying that ocean acidification posed no threat, but that he believed that ""a higher level of academic scepticism"" should be applied to the topic.",False
26,climate,ice_sea_polar,"while it's true that studies in some regions show polar bears are lighter in weight than they were in the 1980s, there is no evidence that more individuals are starving to death or becoming too thin to reproduce because of less summer ice.",False
27,climate,ice_sea_polar,Greenland has only lost a tiny fraction of its ice mass.,False
28,climate,ice_sea_polar,Unprecedented climate change has caused sea level at Sydney Harbour to rise approximately 0.0 cm over the past 140 years.,False
29,climate,ice_sea_polar,the Great Barrier Reef is in fine fettle,False
30,climate,general_climate_denial,"Preventing future pandemics requires more not less ""industrial"" agriculture",False
31,climate,general_climate_denial,Climate change need not endanger anyone,False
32,climate,general_climate_denial,Humans are too insignificant to affect global climate.,False
33,climate,extreme_weather,"The IPCC, the Intergovernmental Panel on Climate Change, which is sort of the voice of the consensus, concedes that there has been no increase in extreme weather events.",False
34,climate,extreme_weather,"there has been no systematic increase in the frequency of extreme weather events,",False
35,climate,extreme_weather,"Since 1965, more parts of the U.S. have seen a decrease in flooding than have seen an increase.",False
36,climate,policy_energy,Renewable energy investment kills jobs,False
37,climate,policy_energy,Renewables can't provide baseload power,False
38,climate,climate_science,Satellite transmissions are extremely small and irrelevant.,False
39,climate,climate_science,"So the bottom line of all this is that climate change is natural, not man-made.",False
0,fake_news,politics,Pence: Obamacare here until Congress is ready,True
1,fake_news,politics,Trump's next legislative target:  tax reform,True
2,fake_news,politics,Schumer: Trump total health care buffoon,True
3,fake_news,politics,Presided Trump pretends to be a worker bee,True
4,fake_news,politics,Trump Calls Democrats Smarter Than His Party,True
5,fake_news,politics,State Department relaxes travel restrictions for certain foreigners.,True
6,fake_news,politics,Women arrested  three times is Melania Trump,True
7,fake_news,politics,"Melania Trump: Women First, Only",True
8,fake_news,politics,"Hillary Clinton, the Debate Tormentor",True
9,fake_news,politics,Pres. Trump Declares That He Is Moving White House,True
10,fake_news,politics,Clinton encourages followers to embrace a Trump presidency,True
11,fake_news,politics,Neil deGrasse Tyson praises Trump on budget plan,True
12,fake_news,politics,Melania Trump hires Angelina Jolie as her communications director,True
13,fake_news,politics,First on CNN: Border wall will cost much less than anticipated due to cheap labor,True
14,fake_news,politics,"Ellison: Democrats ""gloating"" over Republican misfortunes",True
15,fake_news,politics,US says no to UN nuke ban,True
16,fake_news,politics,FBI investigates computer link between Trump and Clinton,True
17,fake_news,politics,"In Second Debate, Donald Trump and Hillary Clinton Spar, Clinton faints under withering attacks",True
18,fake_news,politics,"Judge tells Stein, 'Your money's no good here!' during bribe for a recount.",True
19,fake_news,politics,Hillary Clinton Heads Wisconsin Recount Formerly Pushed By Jill Stein.,True
20,fake_news,politics,Why the Green Party Candidate Jill Stein wants Trump more than Clinton in the White House,True
21,fake_news,politics,"Trump's Gatekeeper ""Holds the Door""",True
22,fake_news,politics,"Rhona Graff, Trump's GateKeeper",True
23,fake_news,politics,Homeland Security Goes On Strike,True
24,fake_news,politics,"Meet James Robart, the judge who approved Trump's immigration ban",True
25,fake_news,politics,Trump's travel ban still out of favor with court,True
26,fake_news,politics,H-1B - You're Fired!,True
27,fake_news,politics,U.S. Travel Industry Looks at New Opportunities Under Trump,True
28,fake_news,politics,Federal Judge Sends Trump To The Corner,True
29,fake_news,politics,White Nationalist sympathizer Friedman confirmed as U.S. ambassador to Israel.,True
30,fake_news,politics,"Biden: Trump was wiretapped, but not by US",True
31,fake_news,politics,Poll: Trump's approval rating soars,True
32,fake_news,politics,White House battles Clintons in Communist ties,True
33,fake_news,politics,"Ivanka Trump, the Real Vice President?",True
34,fake_news,politics,"In age of Obama, Trump is the new tabloid darling.",True
35,fake_news,politics,Schwarzenegger swings at Trump solar plexus,True
36,fake_news,politics,Trump friendlier in person?,True
37,fake_news,technology,New Nintendo Switch game console to launch in March for $99,True
38,fake_news,technology,Smart phones and tablets banned on all U.S. flights due to fire hazard.,True
39,fake_news,technology,Google computers defeat shows once again nothing can beat human intuition,True
40,fake_news,technology,"Netflix is testing out commercials, and viewers are hating it",True
41,fake_news,technology,A surprise new iPhone is here -- and it's red,True
42,fake_news,technology,NASA finds Liquid Water on Mars,True
43,fake_news,technology,Super Mario Run to leave app store,True
44,fake_news,technology,California's Department of Motor Vehicles cracking down on automated cars.,True
45,fake_news,technology,Lab-grown meatless burger part of a larger global agenda.,True
46,fake_news,technology,AT&T posts big news ads YouTube and Google sites,True
47,fake_news,technology,Fossil Concedes the Smartwatch Trend is Over,True
48,fake_news,technology,Amazon's Alexa adds preemptive shopping data to know what you want,True
49,fake_news,technology,Oldest Vespa in the world Involved in Car Crash,True
50,fake_news,technology,Let there be Light: German scientist test 'artificial sun' as elites prepare for doomsday scenario.,True
51,fake_news,technology,New intelligence suggests ISIS rigging laptop batteries to cause explosion on planes,True
52,fake_news,technology,"Apple cuts prices, on lower-end iPads, adds colors to the iPhone lineup",True
53,fake_news,technology,Ban for right hand users,True
54,fake_news,technology,Yahoo Denies Data Breach from 500M Accounts,True
55,fake_news,technology,Phone device tests male fertility and is 100% accurate in predicting pregnancy,True
56,fake_news,technology,GPS trackers to be implanted into citizens of Nepal,True
57,fake_news,technology,"After exposure to YouTube content, AT&T, Verizon to double ad campaign",True
58,fake_news,technology,Toyota sues Microsoft for contract breach,True
59,fake_news,technology,First Amazon Prime Air delivery ends in disaster,True
60,fake_news,technology,Amazon giving away free budget phones.,True
61,fake_news,technology,Google steals user location information with a tricky mapping app secret,True
62,fake_news,technology,Fruit shape sensor detects drug shipments hidden in cargo,True
63,fake_news,technology,Twitter removes anti-troll tools,True
64,fake_news,technology,"Instagram adds futuristic authentication, facial recognition and touch DNA",True
65,fake_news,technology,Facebook Messenger is eliminating Emoji's,True
66,fake_news,technology,NASA Fires Rocket Into The Earth,True
67,fake_news,technology,Samsung's new AI assistant is being named Bixby Siri Alexa,True
68,fake_news,technology,Congress Plans to take away you privacy.,True
69,fake_news,technology,Machine Learning Opens Up New Ways to Help People in Prison,True
70,fake_news,technology,YouTube's Zero Percent Error Rate on Sound Effect Captions,True
71,fake_news,technology,Solar-Powered.... Skin?,True
72,fake_news,technology,Uber Self-Driving Car Tests Resume... Only to Crash Again!!,True
73,fake_news,technology,Apple Says Kids Under 5 - Free For Life,True
0,fake_health,general_health,Test May Reveal Early Signs of Emphysema,True
1,fake_health,general_health,"Oregano, Thyme May Hold the Cure for Wasting Syndrome Disease",True
2,fake_health,general_health,Israeli medical device offers new Alzheimer’s treatment,True
3,fake_health,general_health,Laser Used to Blast Away Cells Causing Irregular Heartbeat,True
4,fake_health,general_health,Statin drugs may lower colon cancer risk: study,True
5,fake_health,general_health,Preventive neuroradiology: Brain imaging bolsters efforts to lower Alzheimer's risk,True
6,fake_health,general_health,"Can't exercise? A hot bath may help improve inflammation, metabolism, study suggests",True
7,fake_health,general_health,"Drink wine, don’t get sunburned",True
8,fake_health,general_health,Fasting blood sugar and fasting insulin identified as new biomarkers for weight loss,True
9,fake_health,general_health,NUS researchers use AI to successfully treat metastatic cancer patient,True
10,fake_health,general_health,Does ‘Club Drug’ Ecstasy Have Therapeutic Value?,True
11,fake_health,general_health,New Data Establishes Image Guided Treatment Option for Prostate Cancer as an Alternative to Surgery by Reducing Recovery Times and Lower Side Effects,True
12,fake_health,general_health,Mindfulness Meditation May Cut IBS Symptoms,True
13,fake_health,general_health,Progesterone may be key to preventing recurrent miscarriage,True
14,fake_health,general_health,Ladies: 5 ways to feel sexy again,True
15,fake_health,general_health,Small study suggests electrical stimulation of the brain can ease migraine pain,True
16,fake_health,general_health,"A new HER2 mutation, a clinical trial and a promising diagnostic tool for metastatic breast cancer",True
17,fake_health,general_health,Marisa Tomei opens up about her struggle with chronic dry eye,True
18,fake_health,general_health,Tucatinib (ONT-380) progressing in pivotal trial against HER2+ breast cancer,True
19,fake_health,general_health,Study shows children's best hope for the potassium and fiber missing in their diets is potatoes,True
20,fake_health,general_health,Blood Test May Predict Rheumatoid Arthritis,True
21,fake_health,cancer,Vaccine offers new hope for removing precancerous cervical lesions,True
22,fake_health,cancer,Study links finger length to prostate cancer risk,True
23,fake_health,cancer,CURE FOR CANCER? FDA ANNOUNCES NEW AGGRESSIVE DRUG ATTACKING ORIGINATING GENES,True
24,fake_health,cancer,Milk protein shown to alleviate chemotherapy side effects,True
25,fake_health,lifestyle_diet_alt_med,How Your Morning Coffee Might Slow Down Aging,True
26,fake_health,lifestyle_diet_alt_med,"Surprising news about teens, marijuana, and health issues. It’s all good.",True
27,fake_health,lifestyle_diet_alt_med,Acupuncture May Take Edge Off Menopause Symptoms,True
28,fake_health,diagnostics_devices_drugs,"Sleep apnea patient finds rest with implant device: ""It saved my life""",True
29,fake_health,diagnostics_devices_drugs,A ‘Polypill’ May Be the Next Big Preventive Fix,True
30,fake_health,diagnostics_devices_drugs,New tests offer hope for millions of patients with irritable bowel syndrome,True
31,fake_health,chronic_disease,Laser-Based Dermatological Procedures Could Be Revolutionized with New Techniqu,True
32,fake_health,chronic_disease,New cancer drug can prevent reactions to common airborne allergens,True
33,fake_health,cardiovascular,New study finds EPA and DHA omega-3s lower risk of coronary heart disease,True
34,fake_health,cardiovascular,New approach to abdominal aortic aneurysm saves lives,True
35,fake_health,neurological,Newly Identified Form of Vertigo Responds to Treatment,True
36,fake_health,neurological,"Migraine surgery produces 'dramatic improvements' in functioning, study finds",True
37,fake_health,mental_health,From Chaos To Calm: A Life Changed By Ketamine,True
38,fake_health,womens_reproductive_health,"I’ll Take a Sperm Test, to Go: First at-Home Male-Infertility Test Debuts",True
39,fake_health,infectious_disease,"Studies show that for kids’ ear infections, antibiotics work better than waiting",True
